time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1954-12-16T11:07:11.000Z,39.283,-118.117,15,7.26,mw,,,,,ushis,ushis1985,2020-03-27T02:40:38.042Z,"Nevada",earthquake,,,,,reviewed,ushis,hht
1954-04-29T11:34:39.000Z,29.112,-113.024,10,7.2,mw,,,,,iscgem,iscgem890579,2020-03-27T02:26:43.133Z,"Baja California, Mexico",earthquake,,,,,automatic,iscgem,iscgem
1953-01-05T07:48:28.000Z,53.631,170.973,21.3,7,mw,,,,,iscgem,iscgem891410,2019-05-08T00:48:17.764Z,"Near Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1952-07-21T11:52:15.460Z,34.9581667,-118.998,6,7.5,mw,8,146,,0.39,ci,ci3319401,2020-02-12T19:19:25.792Z,"6km WNW of Grapevine, CA",earthquake,1.42,31.61,,0,reviewed,ci,ci
1949-08-22T04:01:18.000Z,53.673,-133.015,10,8,mw,,,,,official,official19490822040118000_10,2020-03-27T04:53:05.239Z,"Haida Gwaii, Canada",earthquake,,,,,reviewed,iscgem,official
1948-05-14T22:31:49.000Z,54.61,-161.19,25,7.1,mw,,,,,iscgem,iscgem897327,2020-03-27T04:59:46.953Z,"Alaska Peninsula",earthquake,,,,,automatic,iscgem,iscgem
1947-10-16T02:09:51.000Z,64.131,-148.613,26,7.2,mw,,,,,iscgem,iscgem898078,2020-03-27T05:10:01.825Z,"Central Alaska",earthquake,,,,,automatic,iscgem,iscgem
1946-11-01T11:14:28.000Z,51.752,-174.453,25,7,mw,,,,,iscgem,iscgem898643,2020-03-27T05:18:06.246Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,automatic,iscgem,iscgem
1946-08-08T13:28:33.000Z,19.538,-69.657,15,7,mw,,,,,iscgem,iscgem898519,2020-03-27T05:16:37.123Z,"Dominican Republic region",earthquake,,,,,automatic,iscgem,iscgem
1946-08-04T17:51:10.000Z,19.083,-69.248,15,7.5,mw,,,,,iscgem,iscgem898498,2020-03-27T05:16:18.665Z,"Dominican Republic region",earthquake,,,,,automatic,iscgem,iscgem
1946-06-23T17:13:19.000Z,49.76,-125.34,30,7.3,ms,,,,,ushis,ushis1554,2020-03-27T05:13:34.320Z,"Vancouver Island, Canada region",earthquake,,,,,reviewed,ushis,gr
1946-04-01T12:29:01.000Z,53.492,-162.832,15,8.6,mw,,,,,official,official19460401122901_30,2020-03-27T10:37:49.785Z,"1946 Aleutian Islands (Unimak Island) Earthquake, Alaska",earthquake,,,,,automatic,iscgem,official
1944-07-27T00:04:23.000Z,54,-165.5,70,7.1,mb,,,,,ushis,ushis1476,2018-06-04T20:43:44.000Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,ushis,abe
1943-11-03T14:32:21.000Z,61.776,-151.051,15,7.6,mw,,,,,iscgemsup,iscgemsup900071,2020-03-27T10:07:08.077Z,"Southern Alaska",earthquake,,,,,automatic,iscgem,iscgem
1943-07-29T03:02:17.000Z,18.905,-67.131,15,7.7,mw,,,,,iscgem,iscgem899944,2020-03-27T05:38:13.296Z,"Puerto Rico region",earthquake,,,,,automatic,iscgem,iscgem
